
> ai-scrum-tasks@0.1.0 qa:start-server
> node scripts/start-qa-server.mjs


> ai-scrum-tasks@0.1.0 dev
> next dev -p $PORT

  ▲ Next.js 14.2.32
  - Local:        http://localhost:56899

 ✓ Starting...
 ✓ Ready in 979ms
 ○ Compiling / ...
 ✓ Compiled / in 743ms (459 modules)
 GET / 200 in 811ms
QA server ready at http://localhost:56899 (PID 30984). Press Ctrl+C to stop.
 ✓ Compiled /api/tasks in 226ms (307 modules)
 GET /api/tasks 200 in 259ms
 POST /api/tasks 201 in 2ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 2ms
 ✓ Compiled /api/tasks/[id] in 28ms (309 modules)
 DELETE /api/tasks/bd373958-6b19-419f-8592-faba012937ee 200 in 167ms
 POST /api/tasks 400 in 2ms
 GET /api/tasks 200 in 1ms
 GET /api/tasks 200 in 3ms
 POST /api/tasks 201 in 2ms
 POST /api/tasks 201 in 2ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 1ms
 DELETE /api/tasks/80a717dd-313a-48c9-a2e1-d90306147421 200 in 3ms
 DELETE /api/tasks/7db6244c-a68e-4f6e-99fe-c7a5572f932e 200 in 1ms
 POST /api/tasks 201 in 1ms
 PATCH /api/tasks/8c35882b-91ce-474b-b452-e6ddca67de18 200 in 1ms
 GET /api/tasks 200 in 1ms
 PATCH /api/tasks/8c35882b-91ce-474b-b452-e6ddca67de18 200 in 1ms
 GET /api/tasks 200 in 1ms
 DELETE /api/tasks/8c35882b-91ce-474b-b452-e6ddca67de18 200 in 2ms
 POST /api/tasks 201 in 1ms
 PATCH /api/tasks/09e5b907-2c8b-4a13-9ddc-4843aadd7290 400 in 1ms
 GET /api/tasks 200 in 1ms
 DELETE /api/tasks/09e5b907-2c8b-4a13-9ddc-4843aadd7290 200 in 1ms
 PATCH /api/tasks/non-existent-id 404 in 1ms
 GET /api/tasks 200 in 2ms
 POST /api/tasks 201 in 1ms
 POST /api/tasks 201 in 2ms
 DELETE /api/tasks/2c60a92d-cb5e-468f-9d1d-dc80e44ad2c9 200 in 2ms
 GET /api/tasks 200 in 3ms
 GET /api/tasks 200 in 3ms
 DELETE /api/tasks/e2d09907-ca60-4dbc-857e-725c179b1a9a 200 in 3ms
 DELETE /api/tasks/non-existent-id 404 in 4ms
 GET /api/tasks 200 in 1ms
 GET / 200 in 28ms
 GET /api/tasks 200 in 4ms
 GET /api/tasks 200 in 2ms
 POST /api/tasks 201 in 2ms
 GET /api/tasks 200 in 2ms
 DELETE /api/tasks/f26b9b8e-46f7-41de-a5f0-2852f34b7f54 200 in 2ms
 POST /api/tasks 201 in 2ms
 POST /api/tasks 201 in 2ms
 GET / 200 in 12ms
 GET /api/tasks 200 in 5ms
 GET /api/tasks 200 in 5ms
 GET /api/tasks 200 in 4ms
 DELETE /api/tasks/8395930f-b987-42fb-a641-9d6c2f905320 200 in 5ms
 DELETE /api/tasks/66255440-c8fc-4ad6-aa82-df927c33e0ac 200 in 4ms
 GET / 200 in 7ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 1ms
 POST /api/tasks 201 in 2ms
 GET / 200 in 10ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 2ms
 PATCH /api/tasks/4a361e62-e7df-4c96-8ee0-84f9cbd71e5e 200 in 3ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 2ms
 DELETE /api/tasks/4a361e62-e7df-4c96-8ee0-84f9cbd71e5e 200 in 3ms
 POST /api/tasks 201 in 2ms
 POST /api/tasks 201 in 1ms
 GET / 200 in 10ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 1ms
 DELETE /api/tasks/7622b842-2cbe-4e15-8cd1-3909bd8c4ec0 200 in 3ms
 GET /api/tasks 200 in 3ms
 GET /api/tasks 200 in 2ms
 DELETE /api/tasks/ee6ea03b-f5d6-468a-b3d4-ba366de855fe 200 in 2ms
 GET / 200 in 10ms
 GET /api/tasks 200 in 3ms
 GET /api/tasks 200 in 3ms
 POST /api/tasks 400 in 2ms
 GET /api/tasks 200 in 3ms
 POST /api/tasks 201 in 1ms
 GET /api/tasks 200 in 1ms
 GET /api/tasks 200 in 3ms
 DELETE /api/tasks/3085369f-c447-4eb3-95f9-bc535d7370e2 200 in 3ms
 POST /api/tasks 201 in 1ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 2ms
 DELETE /api/tasks/2e1c67a4-6ede-42c2-ae78-581bb3638673 200 in 2ms
 POST /api/tasks 201 in 1ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 1ms
 DELETE /api/tasks/1f9fdd5c-7474-4e9b-bd4f-3f0dca4825aa 200 in 1ms
 POST /api/tasks 400 in 1ms
 GET /api/tasks 200 in 2ms
 GET /api/tasks 200 in 1ms
 POST /api/tasks 201 in 1ms
 POST /api/tasks 201 in 1ms
 GET /api/tasks 200 in 1ms
 GET /api/tasks 200 in 2ms
 DELETE /api/tasks/9ca3a5de-0316-45e4-a531-9b6bfd715a88 200 in 1ms
 DELETE /api/tasks/a5cb9764-d8f6-4d98-8502-fedcc7e024b8 200 in 1ms
 POST /api/tasks 201 in 2ms
 PATCH /api/tasks/32a1a8f4-aaf1-44cf-bb1b-1413d9bcd5a2 200 in 1ms
 GET /api/tasks 200 in 2ms
